Protein ID,Gene name,Control1,Control2,Control3,Disease1,Disease2,Disease3
A0A075B6H9, IGLV4-69 ,-3.268946997,-5.28716266,-4.579630467,-5.450496456,-5.000161398,-4.486795648
A0A075B6I9, IGLV7-46 ,-1.670466038,-1.021889782,-2.333662067,-2.86149005,-2.377701552,-2.541813444
A0A075B6K0, IGLV3-16 ,-2.525663897,-3.174050679,-3.092745636,-2.111685429,-2.392901043,-2.688984499
A0A075B6K4, IGLV3-10 ,-0.229748308,-0.312886354,-0.535269501,-0.786772409,-1.011529898,-0.854458018
A0A087WW87, IGKV2-40,1.398945679,2.917459109,1.947387892,0.964923848,1.006585641,0.452458584
A0A0A0MRZ8, IGKV3D-11 ,-2.807264259,-2.347784212,-2.323511238,-2.617762292,-2.760419698,-3.338101049
A0A0A0MS14, IGHV1-45 ,-1.748607513,-1.249287289,-1.731922299,-2.598352262,-2.868726851,-2.805307807
A0A0A0MT36, IGKV6D-21,-3.762362536,-2.903098139,-2.834555226,-4.035141744,-3.687294269,-3.391286567
A0A0B4J1U7, IGHV6-1 ,-0.92202771,0.921806254,-0.178759662,-2.999825034,0.573098839,-1.635881258
A0A0B4J1V0, IGHV3-15 ,-1.997614456,-1.51210869,-1.451702632,-2.266893232,-2.073130691,-3.025414664
A0A0B4J1V6, IGHV3-73 ,-3.284038352,-1.222137444,-2.776580037,-3.822779223,-3.587161639,-4.757535953
A0A0B4J1X5, IGHV3-74 ,-5.563823887,-3.645304841,-5.642750814,-3.707515705,-3.47431518,-4.115324409
A0A0B4J1Y9, IGHV3-72 ,0.072272879,1.784824662,0.773681405,-0.324833005,-0.035166686,-0.838727888
A0A0B4J2F0, PIGBOS1 ,0.138509649,0.401974409,1.130092819,0.530834758,0.66976095,0.944756938
A0A0C4DH24, IGKV6-21 ,-5.322119512,-4.235959913,-4.993331406,-5.54773724,-5.230231591,-6.647988895
A0A0C4DH29, IGHV1-3 ,-0.555200971,0.27947784,-0.604308437,-0.631144128,-1.483057485,-1.905835078
A0A0C4DH31, IGHV1-18 ,-1.54399483,-1.049851948,-0.785858693,-1.780087982,-2.044987054,-2.190110631
A0A0C4DH34, IGHV4-28 ,-1.929261006,-1.167064725,-0.850183271,-2.176340693,-2.04476506,-2.57329238
A0A0C4DH35, IGHV3-35 ,-0.949390253,0.567813548,0.045210256,-0.632731324,-0.803294693,-1.959856092
A0A0C4DH67, IGKV1-8,-2.432445729,-3.246769609,-2.682669089,-2.939290974,-2.295987566,-1.036362944
A0A0C4DH68, IGKV2-24,-2.930120694,-1.566061449,-1.953297639,-3.315732008,-2.847393652,-3.39295632
A0A0C4DH72, IGKV1-6,-5.580695463,-5.424495511,-5.422305502,-5.725027337,-5.724271306,-5.66600362
A0A0G2JS06, IGLV5-45 ,-1.753150798,-1.386429762,-1.83194657,-1.640893225,-2.11814478,-1.497905226
A0A0J9YXX1,  ,-0.425691285,0.889903825,0.441586726,-0.146132826,-0.000144843,-1.129581089
A0A0U1RRL7,  ,-2.22540767,-2.420687303,-1.853555261,-2.307553995,-2.223188579,-2.518042094
A0AVT1, UBA6 ,0.954449436,0.786821253,0.823461279,0.675434235,0.755701924,0.823124196
A0FGR8, ESYT2 ,0.105162719,-0.080098522,0.144238361,-0.206899045,0.130426532,-0.064876978
A0M8Q6, IGLC7 ,-1.844115617,-0.765141381,-1.516876284,-1.677965214,-1.735786636,-1.596788274
A0MZ66, KIAA1598 ,-0.595822656,-0.620211208,-0.737315083,-0.703868562,-0.931368569,-1.191487787
A0PJW6, TMEM223 ,-2.310899129,-2.979557429,-2.392766392,-2.519327212,-2.281529252,-2.004600287
A0PK00, TMEM120B ,-4.770560702,-4.799786492,-4.608267088,-4.64868669,-4.485535249,-5.175593042
A1A4S6, ARHGAP10 ,0.88785005,0.823530803,0.683993583,0.967348638,0.658164164,1.003656325
A1IGU5, ARHGEF37 ,-2.517565347,-2.417297675,-2.51084404,-2.502784874,-2.12367094,-2.453069958
A1KZ92, PXDNL ,-1.211483427,-1.496607692,-1.239582377,-1.101448227,-0.362862743,-1.119953718
A1L0T0, ILVBL ,1.262503749,1.25257874,1.230548001,1.64464549,1.337228967,1.299502179
A1L170, C1orf226 ,-6.022267077,-5.157147455,-5.878338198,-6.262070409,-5.663606594,-6.388722368
