Gene name,Disease1,Disease2,Disease3,Control1,Control2,Control3
A1BG,0.239126,0.576794,0.323312,0.215623,0.256459,0.256841
A1BG-AS1,0.14021,0.136207,0.228318,0.156199,0.251155,0.236026
A1CF,0.14445,0.075214,0.00216,0.039381,0.013674,0.165671
A2M,118.867822,152.619853,144.404813,136.551583,217.139002,82.412413
A2M-AS1,2.642095,2.835382,2.605264,2.811116,2.841754,1.324119
A2ML1,0.059077,0.078076,0.008492,0.005191,0.005465,0.062372
A2MP1,0,0.076461,0.015277,0.018802,0,0
A3GALT2,0,0,0,0,0,0
A4GALT,14.678239,22.250582,20.994782,20.379479,29.023179,10.005294
A4GNT,0,0,0,0,0,0
AA06,0,0,0,0,0,0
AAAS,10.521948,10.188883,8.984417,8.508876,11.574598,10.194745
AACS,4.513213,7.219421,4.716763,6.711108,5.044499,4.823318
AACSP1,0.083367,0,0,0,0,0.031805
AADAC,0,0,0,0.016773,0.034784,0
AADACL2,0,0,0,0,0.054113,0
AADACL3,0.020888,0,0,0.005562,0,0.004431
AADACL4,0,0.021166,0.037887,0,0,0
AADAT,0.585177,0.637186,0.403232,0.47289,0.872828,0.372819
AAED1,17.79223,13.757829,15.988365,17.05856,23.412342,15.681805
AAGAB,6.048881,6.159379,4.742516,5.060787,5.91833,4.800948
AAK1,6.654203,10.310847,7.211581,8.480595,7.468419,4.433813
AAMDC,50.800117,69.924689,85.822126,73.552168,65.753246,26.701453
AAMP,21.700594,22.772241,21.027317,21.885365,22.137367,16.602522
AANAT,0,0,0,0,0,0
AAR2,5.829639,5.382474,5.136998,5.760419,6.357751,3.914908
AARD,0.158385,0.159839,0.031491,0.208296,0.16464,0.620224
AARS,18.88791,21.910266,21.180314,22.42291,23.549274,12.751678
AARS2,3.094893,3.303371,3.565386,3.175458,3.406363,2.553685
AARSD1,7.262926,9.632619,12.3817,10.145119,9.407436,7.55905
AASDH,2.332109,2.333366,1.992782,2.183266,3.077861,1.312979
AASDHPPT,17.083472,18.301729,16.085505,19.150039,18.120825,11.636262
AASS,7.500415,7.740539,8.696809,16.189569,10.03544,9.9763
AATF,3.83727,5.450075,4.603821,3.837493,5.035712,3.613082
AATK,0.318626,0.6944,0.34683,1.087413,1.006602,0.70123
AATK-AS1,0,0,0,0,0,0
ABAT,4.73894,1.368867,2.051012,4.499911,5.642497,6.158672
ABCA1,2.563758,3.41092,2.761739,4.468113,4.142943,2.105144
ABCA10,1.065512,0.820848,0.550131,0.776552,1.241707,0.789337
ABCA11P,2.180712,1.943607,1.855604,1.924789,2.607395,0.581859
ABCA12,0,0,0,0,0.00523,0.042212
ABCA13,0.089264,0.06739,0.020853,0.017772,0.029554,0.073761
ABCA17P,0.035181,0.042076,0.033356,0.020573,0.0215,0
ABCA2,4.928734,5.890753,5.004894,5.874358,7.871547,4.762614
ABCA3,2.238963,2.756641,2.384239,2.979045,3.22049,1.958607
ABCA4,0.091535,0.03678,0.063375,0.04142,0.041061,0
ABCA5,3.013703,4.394959,3.973028,3.60117,4.521606,1.828463
ABCA6,5.979503,6.303006,4.943979,5.814744,7.049737,4.419695
ABCA7,0.225369,0.345429,0.28406,0.747836,0.790788,0.442498
ABCA8,16.48187,20.150211,14.640632,18.468669,23.461564,13.642011
ABCA9,8.217357,6.281033,5.147424,6.319254,5.799038,2.385215
ABCB1,0.358672,0.463801,0.676555,1.032404,0.434811,0.666882
ABCB10,5.888101,6.812462,5.438166,6.112253,7.224471,5.335107
ABCB11,0.034542,0,0,0.011897,0.004349,0.029691
ABCB4,1.681746,2.885551,2.462139,2.398379,2.435394,1.127701
ABCB5,0.227625,0.186525,0.080281,0.19155,0.207237,0.277904
ABCB6,4.74822,4.404703,4.592289,4.144778,5.34319,3.975149
ABCB7,11.437514,16.548961,15.394669,16.978403,13.932419,10.170252
ABCB8,3.208674,3.07481,2.957545,2.899951,3.112623,2.428998
ABCB9,1.153929,1.046184,0.953227,1.417966,1.044162,0.614837
ABCC1,5.54934,7.372288,5.531419,6.114958,5.25897,4.085183
ABCC10,1.33452,2.036348,1.446907,1.531531,1.250787,1.30956
ABCC11,0.108346,0.029392,0.014082,0.0433,0.049988,0.076519
ABCC12,0,0,0.011836,0.021779,0.015267,0.029457
ABCC13,0.14451,0.081562,0,0.057845,0,0.007849
ABCC2,0,0.009197,0.006264,0.027009,0.040314,0
ABCC3,0.337437,0.037996,0.037234,0.057825,0.068452,0.209689
ABCC4,2.019979,1.698964,0.73624,1.493949,1.222529,3.160521
ABCC5,4.729508,5.728326,4.228417,6.989032,9.961952,5.898565
ABCC5-AS1,0,0,0,0,0,0
ABCC6,0.618791,0.912689,0.416284,0.39903,0.348222,0.908267
ABCC6P1,0.093255,0,0.013256,0.019018,0,0.083686
ABCC6P2,0.171093,0.524194,0.501341,0.415872,0.742799,0.713309
ABCC8,0.03144,0.140671,0.157528,0.134778,0.343267,0.18468
ABCC9,30.036684,31.285201,26.067445,32.112433,43.012548,23.089529
ABCD1,4.229709,5.425952,4.447104,3.885277,4.614806,3.543098
ABCD2,3.698793,6.665362,5.403588,5.186006,3.626116,3.512534
ABCD3,28.256585,28.512812,23.359851,32.990757,30.617427,17.476437
ABCD4,4.690605,4.042253,3.665417,3.618701,4.184708,2.165658
ABCE1,11.455251,11.478497,10.588622,13.294762,11.448891,10.337152
ABCF1,11.165111,13.291453,12.12517,12.860089,12.547039,7.317446
ABCF2,10.944538,11.578867,9.666646,11.881285,13.222533,9.196772
ABCF3,13.610123,20.503841,18.558529,18.179429,19.655758,11.668422
ABCG1,4.105364,8.154558,5.772005,10.52458,7.398075,3.699873
ABCG2,1.331348,0.705226,1.261257,1.561494,1.542259,1.089064
ABCG4,0.268908,0.474566,0.148602,0.321267,0.135875,0.08412
ABCG5,0,0,0,0.048569,0,0
ABCG8,0.051685,0.061214,0,0,0,0
ABHD1,0.431637,0.563455,0.677411,0.366335,0.344812,0.637906
ABHD10,22.589561,25.098464,20.336814,25.413175,27.369993,14.682853
ABHD11,10.414791,13.913376,11.962477,11.638491,12.529504,8.723246
ABHD12,7.288989,8.160962,6.476822,8.853058,10.040317,5.878958
ABHD12B,0.390798,0.402138,0.098383,0.243247,0.248017,0.534436
ABHD13,3.525035,4.321424,2.962205,3.481721,3.36807,1.899679
ABHD14A,11.642061,11.093505,13.319967,11.249128,15.652091,7.482331
ABHD14A-ACY1,0.647239,0,0.055299,0,0,0
ABHD14B,3.154514,2.54136,2.695644,2.481151,3.620343,2.315049
ABHD15,2.296831,2.528053,1.820299,1.828701,2.543103,1.835146
ABHD16A,7.691166,8.831465,8.209222,8.456185,9.599871,5.816092
ABHD16B,0,0.128066,0,0,0,0
ABHD17A,33.666292,36.0994,27.268342,27.743712,33.829273,24.430992
ABHD17B,5.303581,4.992049,4.205419,5.101687,5.503097,4.181654
ABHD17C,3.320973,2.513507,2.293653,2.824825,3.039774,1.991835
ABHD2,14.07205,19.725274,11.472852,19.108208,17.220663,12.294449
ABHD3,1.264629,1.363393,1.090854,1.366982,1.229283,1.525958
ABHD4,5.524211,6.766104,4.988648,6.862439,6.216249,5.539424
ABHD5,6.087333,7.068071,5.978018,7.779324,7.240025,4.279505
ABHD6,2.932111,3.811444,2.225482,3.302696,1.61562,0.922418
ABHD8,4.114358,4.200693,2.830751,3.687069,3.267571,2.688517
ABI1,11.551966,10.642523,10.111154,12.42351,12.345291,8.034015
ABI2,12.951902,15.147378,13.315538,14.934012,17.475831,9.080107
ABI3,2.439922,2.546658,1.618629,1.955791,2.252339,0.605955
ABI3BP,2.167056,3.291075,3.289939,3.414008,6.111634,3.979723
ABL1,8.455403,8.107847,7.304261,8.294558,9.527268,5.928957
ABL2,2.144811,2.601136,2.22148,2.738158,3.213534,1.831288
ABLIM1,182.123355,217.046217,168.634334,210.228158,188.139621,127.205254
ABLIM2,2.70525,3.24505,3.5337,2.17762,3.835946,2.375201
ABLIM3,42.527778,44.887944,40.903791,33.997191,47.460269,22.654652
ABO,0.425647,0.732744,0.162718,0.352397,0.171462,0.244595
ABR,35.589409,35.163759,34.926328,34.476784,45.136131,26.308832
ABRA,2.597215,3.600927,4.275074,5.0162,6.394452,2.623482
ABRACL,2.845283,5.79375,3.909919,3.357921,3.171281,2.246597
ABT1,5.330096,5.555012,4.903711,7.35728,6.59064,4.107044
ABTB1,7.844859,7.558471,7.955545,7.583908,6.705941,4.591315
ABTB2,6.766826,5.585617,5.574776,5.842189,6.469551,4.430855
AC000099.1,0,0,0,0,0,0
AC000124.1,0,0,0,0,0,0
AC002116.7,0.075407,0,0,0.033044,0,0.153701
AC002398.5,0,0,0,0,0,0
AC002454.1,0,0,0.168083,0.0681,0.247775,0
AC002463.3,0,0,0,0,0.022493,0
AC002480.3,0.025763,0.56553,0.251244,0.102553,0.368713,0.176021
AC002511.1,0.054331,0.073219,0.028896,0.082959,0.055394,0
AC003051.1,0,0,0,0,0,0
AC003102.3,0.09718,0.171731,0.087537,0.108685,0.167952,0.135493
AC003665.1,0.355024,0.596151,0.312679,0.090885,0.361467,0.213781
AC003958.2,0.007008,0,0,0.027747,0,0
AC003984.1,0,0,0,0,0,0
AC004019.13,0.008387,0,0.009072,0.010904,0.079246,0.196435
AC004053.1,0.034617,0.026123,0.014991,0.009131,0.019015,0
AC004603.4,0.05248,0.093566,0.03212,0,0.010505,0
AC004862.6,0,0,0,0,0,0
AC004893.11,0.473161,0.621048,0.601306,0.463043,0.809863,0.371135
AC005022.1,0,0,0,0,0,0
AC005029.1,0.005394,0.01004,0,0,0.007495,0
AC005062.2,0,0,0,0,0,0.025409
AC005235.1,0,0,0,0,0,0
AC005264.2,0,0,0.01492,0,0.019385,0
AC005358.3,0,0,0,0,0,0
AC005550.4,1.539702,2.453834,1.647282,1.665846,1.391684,0.679665
AC005592.2,0,0,0.164689,0.081303,0.083854,0
AC005594.3,0,0.036124,0,0.026796,0.035427,0
AC006004.1,0.024094,0,0,0,0,0.017129
AC006145.4,0.106573,0.172693,0.033224,0,0.063859,0
AC006196.1,0,0,0,0,0.019538,0
AC006262.5,0.009929,0.125139,0.052842,0.05207,0.095139,0.320035
AC006272.1,0,0,0,0,0.035567,0
AC006372.4,0,0,0.007591,0.013868,0,0
AC007038.7,0.294249,0.605349,0.141299,0.13069,0.302023,0.331775
AC007040.7,0,0,0,0.080369,0.046573,0
AC007099.1,0.93339,0.941601,0.414713,0.706094,1.179045,0.800738
AC007131.1,0,0,0,0,0,0
AC007163.3,0,0,0,0,0,0
AC007163.6,0,0,0,0,0,0
AC007246.3,1.128586,1.784382,1.254645,1.707014,2.125992,1.15275
AC007359.6,0,0.02313,0,0,0,0
AC007365.1,0.042941,0,0,0,0,0
AC007386.2,0.209839,0.04989,0.098379,0.249107,0.193237,0.213677
AC007392.3,0.254883,0.127007,0.076212,0.216829,0.159701,0
AC007392.4,0,0,0,0,0,0
AC007403.2,0,0,0,0,0,0
AC007405.4,0,0,0,0,0,0
AC007461.2,0,0,0,0,0.009893,0
AC007463.2,0,0,0,0,0,0
AC007551.3,0.255493,0.079386,0.256288,0.214394,0.30895,0.155534
AC007682.1,0.021733,0,0,0.017269,0.005966,0.057829
AC007740.1,0,0,0,0,0,0
AC007743.1,12.301141,14.951143,6.614148,12.42837,13.084932,13.1762
AC007750.5,0.025096,0.10438,0,0.013508,0,0.037369
AC007773.2,0.254281,0.36752,0.392291,0.030249,0.315785,0.813813
AC007879.2,0.327723,0,0,0,0.161603,0
AC007880.1,0,0,0,0.022042,0,0
AC007966.1,0,0,0.030917,0.037199,0,0
AC008697.1,0,0,0.011615,0,0.014928,0
AC008703.1,0,0,0,0,0,0
AC009120.4,0,0,0,0,0,0
AC009227.2,0,0.047221,0,0,0.069461,0.036054
AC009264.1,0,0,0,0,0,0
AC009299.3,0.028014,0.143755,0.030924,0.012509,0.013039,0
